person_id,image,name,bio
lord-william-hague,lord-william-hague,The Rt Hon Lord Hague of Richmond,"Lord William Hague of Richmond is Chancellor of the University of Oxford and one of the United Kingdom's most distinguished statesmen. A graduate of Magdalen College, Oxford, and former President of the Oxford Union, he served for 26 years in the House of Commons, including as Secretary of State for Wales, Leader of the Conservative Party, First Secretary of State, and Foreign Secretary. Throughout his career, he has been closely engaged with issues of international trade, economic competitiveness, energy security, geopolitics, and Britain's role in the global economy. Since leaving frontline politics, he has remained active in business and public policy and has co-authored reports with Sir Tony Blair advocating for a stronger national focus on science, technology, and innovation. An award-winning historian, author, and Fellow of the Royal Society of Literature, Lord Hague brings a unique perspective on the intersection of geopolitics, industrial policy, and national prosperity. He was elected Chancellor of the University of Oxford in 2024 and assumed office in February 2025."
monica-gorman,monica-gorman,Dr Monica Gorman,"Dr Monica Gorman is Co-President (acting) of Crowell Global Advisors, and a former senior White House official whose work sits at the intersection of industrial policy, global trade, supply chain resilience, and corporate strategy. She served as Special Assistant to the President for Manufacturing and Industrial Policy from 2022 to 2025, where she helped establish the White House Council on Supply Chain Resilience and led the U.S. Supply Chain Disruptions Task Force. She previously served as Deputy Assistant Secretary of Commerce for Manufacturing, working on the competitiveness of strategically important sectors including semiconductors, pharmaceuticals, aerospace, automotive, nuclear, and solar energy. Before entering government, she held senior leadership roles at New Balance, American Eagle Outfitters, and Gap Inc., with responsibility for trade, compliance, sustainability, and global supply chains. Dr Gorman earned her M.Phil. and D.Phil. in Politics from the University of Oxford, where she was affiliated with St Edmund Hall and Nuffield College."
angela-garcia-calvo,angela-garcia-calvo,Angela Garcia Calvo,"Angela Garcia Calvo is Assistant Professor at the University of Reading. Her research studies how governments and firms work together to transform capitalisms and shape the direction of technological change. Specific topics include industrial-innovation policy, the platform economy and state-firm relations. Garcia Calvo's ongoing project Empowering Europe asks how Europe can generate new technological capabilities to generate prosperity, guarantee security and maintain a meaningful position in the global sphere."
diane-coyle,diane-coyle,Diane Coyle,"Diane Coyle is the Bennett Professor of Public Policy at the University of Cambridge and a member of the UK Government's Industrial Strategy Council. Her research focuses on productivity, the digital economy and AI policy, and economic measurement. She has been writing about the effects of digital technologies since her first book, The Weightless World, in 1997. The underlying motivation for all her work is the question: what does it mean for the economy to improve, and who benefits?"
annabelle-gawer,annabelle-gawer,Annabelle Gawer,"Annabelle Gawer is a Chaired Professor in Digital Economy and Director, Centre of Digital Economy (CoDE) at the University of Surrey. A world-class academic pioneer in platform strategy, Professor Gawer's seminal research offers insights into the strategic management of platforms and the governance of their innovation ecosystems by exploring systematically the interaction between economic forces, organizational dynamics, and technological design."
helena-malikova,helena-malikova,Helena Malikova,"Helena Malikova is a European Union civil servant with the Directorate General for Competition (DG COMP) at the European Commission. She is currently leading the directorate's work on intelligence gathering and investigations and is researching the valuation of strategic M&A facilitated by foreign governments. She has published on the geopolitics of artificial intelligence and conflicts of interest among antitrust economists, academics and economic consultancies advising on regulation."
mehdi-montakhabi,mehdi-montakhabi,Mehdi Montakhabi,"Mehdi Montakhabi is Associate Scholar at Saïd Business School, University of Oxford. His research examines how nascent ecosystems emerge and scale in uncertain, highly regulated, and state-shaped markets, with a particular focus on commercialization in the space economy. He is also the founding organiser of the Academy of Management PDW on the space economy."
paul-bate,paul-bate,Dr Paul Bate,"Dr Paul Bate is the former Chief Executive Officer of the UK Space Agency, where he led the UK's civil space agency in advancing space science, commercial growth, and the use of space for economic, environmental, and societal benefit. In his role he oversaw national efforts to support R&D, space infrastructure, and the UK's role in international space activity."
rob-desborough,rob-desborough,Rob Desborough,"Rob Desborough is General Partner at Seraphim Space and Chair and co-founder of the Seraphim Space Accelerator. He has played a central role in building Seraphim's early-stage Space-Tech investment platform and supporting high-growth ventures across the space sector. His work focuses on identifying, backing, and scaling companies developing technologies and applications in areas such as communications, Earth observation, climate, defence, infrastructure, and space-enabled data."
nigel-chandler,nigel-chandler,Nigel Chandler,"Nigel Chandler is Head of Sales / Global Business UK at Airbus Defence and Space, where he leads customer engagement across UK defence and space markets. He works to connect advanced space capabilities with government, institutional, and commercial customers. His background spans customer strategy, large-scale programme development, and the translation of complex technological systems into market and mission needs."
raja-roy,raja-roy,Raja Roy,"Raja Roy is an Associate Professor of Innovation and Entrepreneurship at the Martin Tuchman School of Management, New Jersey Institute of Technology. His research focuses on technological innovation, breakthrough invention, and disruptive change in high-technology industries, including spacecraft and space-related systems."
john-gray,john-gray,John Gray,"John Gray is a Dean's Distinguished Professor, and the Chair of Operations and Business Analytics Department at Fisher College of Business, The Ohio State University. He is currently the PI on a subaward grant from the U.S. Department of Defense, charged with examining global pharmaceutical supply chains. Prior to pursuing his PhD, John worked for eight years in operations management at Procter & Gamble. He was co-PI of a contract with the FDA, part of a major FDA subaward, and co-PI on an NSF grant. John is also the past president of the Industry Studies Association."
markus-felgenhauer,markus-felgenhauer,Dr. Markus Felgenhauer,"Dr Markus Felgenhauer is Co-Founder and Chief Executive Officer of QYOBO, a live intelligence platform providing data-driven insights into global pharmaceutical supply chains. QYOBO integrates hundreds of data sources to deliver transparency and live intelligence on manufacturing networks, compliance risks, pricing dynamics, and supply chain vulnerabilities across the pharmaceutical industry. Before founding QYOBO in 2019, Markus worked at McKinsey & Company, where he focused on the pharmaceutical sector. At QYOBO, Markus leads strategy, product innovation, and commercial development. His work focuses on bringing greater transparency and intelligence to pharmaceutical supply chains."
damien-holly,damien-holly,Damien Holly,"Damien Holly is VP, Head of Global Supply Chain at SERB Pharmaceuticals. Damien has extensive experience in supply chain and operations management, having served as the Chief Operations & Quality Officer at Provepharm Life Solutions and worked at Novartis as the Head of Supply Chain for the Sandoz Division. He also held the position of Director of Global Supply Chain at Hexcel Corporation, Director of European Supply Chain and Technical Services at Mundipharma International, and had various roles at Pfizer, including Director of Global Supply Chain Processes and Director of EMEA Supply Chain."
mujaheed-shaikh,mujaheed-shaikh,Mujaheed Shaikh,"Mujaheed Shaikh is Professor of Health Governance at the Hertie School, Berlin. His research concentrates on the field of health economics and management with a focus on health expenditures, hospital efficiency and competition, and health insurance. Mujaheed also has a keen interest in policy issues related to international donor funding for diseases and health in developing countries. Prior to joining the Hertie School, Mujaheed was employed at the Health Economics and Policy Division of Vienna University of Economics and Business. He has published in top field journals and has won several international awards."
daniel-armanios,daniel-armanios,Daniel Erian Armanios,"Daniel Erian Armanios is the BT Professor and Chair of Major Programme Management at Saïd Business School and a Professorial Fellow of St Anne's College. He also holds a Courtesy Appointment with the Department of Engineering Science. Daniel's research integrates civil engineering and organisational theory to better understand how organisations coordinate to build, manage, and maintain infrastructure amidst complexity. His work is published in leading outlets across the engineering and social sciences, and he has consulted and served on various panels and advisory boards for organizations such as the US National Academy of Sciences, Engineering, and Medicine, UNDP, and the US Department of Transportation."
alison-baptiste,alison-baptiste,Alison Baptiste CBE CEng FICE,"Alison Baptiste CBE CEng FICE is a Director in the National Infrastructure and Service Transformation Authority in the Treasury, the government centre of expertise for project delivery. She drives standards, improvements and pace in government's biggest and riskiest projects. Her portfolio covers infrastructure and service delivery in Defence, Digital, Health, Education, Welfare, Home Office, Justice and Tax. She also leads the cross-government forum on Transformation programmes. Prior to this Alison led operational delivery in the Environment Agency and received a CBE for her leadership responding to nationwide flooding. Alison also holds non-executive roles in the engineering profession and leisure industry."
