file,change
panels.csv,Rebuilt panel/plenary file from Programme Book v5 PDF; added SS1 Drones and SS5 Semiconductors; renumbered special sessions SS1-SS8 in programme order; split previously concatenated SS5/SS6 rows.
bio-panels.csv,"Added value-chains plenary people, drones participants, semiconductor placeholders XXX/YYY, and Industry Studies Research panelists Saurabh Bansal, Laura Dupin and Juliane Reinecke."
bios.csv,"Added missing people required by updated panels, using programme-book placeholder text where PDF has placeholders only."
overview.csv,"Updated Thursday/Fri special sessions to name Drones and Semiconductors, changed Friday breakfast/free-time/gala times to Programme Book v5, and updated Saturday special session/lunch labels."
session-slots.csv,Added Rhodes Trust TH04 for Drones and Rhodes Trust FR09 for Semiconductors; updated Friday breakfast/free/gala times; changed Saturday SA04 to NMLT + Rhodes Trust following detailed panel pages.
session-ids.csv,Removed stale LAB1 paper 109 and PP4 paper 100; renumbered paper_order within every session.
submissions.csv,"Copied unchanged. Programme Book v5 changes affect scheduling/session mappings and special panels, not submission abstracts/data rows."
awards.csv,Copied unchanged. Programme Book v5 still shows award winners/runner-up fields blank.
submissions.csv,"Confirmed submissions 114, 115, 202, and 212 as concurrent panels and assigned them to Labor & Work, Cross-Track, Cross-Track, and Operations & Supply Chain respectively."
overview.csv,Normalized programme headings to Concurrent paper and panel sessions, Special sessions, and Cross-Track.
