Weekday,Time Start,Time End,Duration,Session,Building,Room,excursion_id,excursion_option,meeting_point,description,event_url
Thursday,8:00 AM,12:00 PM,4:00,Company visits,Offsite,Various,,,,,
Thursday,10:00 AM,12:00 PM,2:00,Oxford Walking Tour,Oxford City Centre,Walking tour route,,,,,
Thursday,12:00 PM,1:00 PM,1:00,Lunch,Saïd Business School,SBS Foyer,,,,,
Thursday,1:00 PM,2:00 PM,1:00,Special sessions,Rhodes Trust; Saïd Business School,Rhodes Trust; LT4,,,,,
Thursday,2:05 PM,3:15 PM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Thursday,3:15 PM,3:45 PM,0:30,Coffee Break,Saïd Business School,SBS Foyer,,,,,
Thursday,3:45 PM,4:45 PM,1:00,Plenary,Saïd Business School,NMLT,,,,,
Thursday,4:50 PM,6:00 PM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Thursday,6:30 PM,8:30 PM,2:00,Welcome Reception,Rhodes House,Rhodes House,,,,"Rhodes House, South Parks Road, Oxford OX1 3RG. Drinks and canapés.",https://maps.app.goo.gl/zKeXjSe7wnNAWURD9
Friday,8:15 AM,8:45 AM,0:30,Breakfast,Saïd Business School,SBS Foyer,,,,,
Friday,8:45 AM,9:55 AM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Friday,9:55 AM,10:25 AM,0:30,Coffee Break,Saïd Business School,SBS Foyer,,,,,
Friday,10:25 AM,11:25 AM,1:00,Plenary,Saïd Business School,NMLT,,,,,
Friday,11:30 AM,12:30 PM,1:00,Special sessions,Saïd Business School,Rhodes Trust; LT4,,,,,
Friday,12:30 PM,1:30 PM,1:00,Lunch,Saïd Business School,SBS Foyer,,,,,
Friday,1:30 PM,2:40 PM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Friday,2:40 PM,3:10 PM,0:30,Coffee Break,Saïd Business School,SBS Foyer,,,,,
Friday,3:10 PM,4:10 PM,1:00,Special sessions,Rhodes Trust; Saïd Business School,Rhodes Trust; LT4,,,,,
Friday,4:20 PM,5:30 PM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Friday,5:30 PM,6:45 PM,1:15,Free time,Saïd Business School,,,,,,
Friday,6:45 PM,10:00 PM,3:15,Gala Dinner,Balliol College,Balliol College,,,,"Balliol College, Broad Street, Oxford OX1 3BJ. Reception drinks from 6:45pm, with dinner in Hall at 7:45pm. Concludes at approximately 10:00pm. Dress code: Smart business attire.",https://maps.app.goo.gl/MpsFeFaTaSky2ksN7
Saturday,8:30 AM,9:00 AM,0:30,Breakfast,Saïd Business School,SBS Foyer,,,,,
Saturday,9:00 AM,10:10 AM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Saturday,10:10 AM,10:30 AM,0:20,Coffee Break,Saïd Business School,SBS Foyer,,,,,
Saturday,10:30 AM,11:30 AM,1:00,Special sessions,Rhodes Trust; Saïd Business School,Rhodes Trust; LT4,,,,,
Saturday,11:35 AM,12:45 PM,1:10,Concurrent paper and panel sessions,Saïd Business School,Various,,,,,
Saturday,12:45 PM,2:00 PM,1:15,Lunch and Best Paper Award Presentation,Saïd Business School,SBS Foyer,,,,,
