id,date,time_start,time_end,room,title,category,contact_author,contact_email,moderator,panelists,description
PL1,9/3/26,3:45 PM,4:45 PM,NMLT,Opening Plenary: The Geopolitics of Industrial Policy,Plenary,,,Dr Monica Gorman,The Rt Hon Lord Hague of Richmond,"[Draft – needs approval] Lord Hague will be in conversation with Dr Monica Gorman on the shifting relationship between geopolitics, industrial policy, and the future of industry. Lord Hague will reflect on how strategic competition, technological change, national security, and economic resilience are reshaping the choices facing governments and firms. Dr Gorman will bring a complementary perspective from her recent White House work on manufacturing policy, supply chain resilience, and sectoral competitiveness, engaging Lord Hague on what these changes mean for industrial strategy on both sides of the Atlantic. The session will connect high-level statecraft with the practical realities of industry, offering an Oxford-based conversation on the policy, political, and geopolitical forces transforming contemporary industrial systems."
PL2,9/4/26,10:25 AM,11:25 AM,NMLT,Plenary: Value Chains and Industrial Innovation Policy,Plenary,,,Professor Sir Mike Gregory,Julia Sutcliffe; Eoin O’Sullivan,"Industrial innovation policy has returned as a major priority for national and regional governments around the world. While reservations about the wisdom and effectiveness of industrial policy continue in some quarters, it is now widely accepted that governments must have a considered position on their relationship with their industries. There are many challenges, however, to the development and delivery of effective industrial policies. This panel opens by exploring patterns of industrial innovation policy internationally, highlighting emerging trends and priorities. The UK Government’s Chief Scientific Advisor will then introduce the UK's approach, drawing on the most recent national policies and early observations from their delivery. Finally, we draw together perspectives from different systems of industrial policy and explore ways in which these might usefully be integrated to provide more comprehensive and robust theoretical foundations for industrial innovation policy going forward."
SS1,9/3/26,1:00 PM,2:00 PM,Rhodes Trust,"Drones: How Commercial, Security and Defence Demands Are Shaping an Industry",Special Session,,,Michael A. Lewis,Simon Bachelor; Sofia Stayte; TBC,"Uncrewed Aerial Systems (UAS) - or Drones – are presented as a huge commercial opportunity by some, a security capability or liability by others and, with the Russia-Ukraine conflict front of mind, a profound defence challenge. Bringing together a manufacturer building dual-use systems, a police force flying beyond visual line of sight over national infrastructure, and the department shaping UK policy and industrial capability, the panel asks how an industry takes shape under these varied conditions. Where regulation decides what is feasible as much as technology does, where sovereignty and supply chains matter as much as capability, and where what works today is contested tomorrow."
SS2,9/3/26,1:00 PM,2:00 PM,LT4,Public Policy and the Digital Stack,Special Session,,,Angela Garcia Calvo,Diane Coyle; Annabelle Gawer; Helena Malikova,"Online platforms have become essential infrastructures of modern capitalisms. In recent years, a few hyperscalers have shifted from consumer- to enterprise-oriented services, and from asset-light service providers to asset-heavy orchestrators of a multilayered digital stack. As digital technologies transform legacy manufacturing industries, this evolution is reshaping entire production systems. Unsurprisingly, the digital stack has become a central feature of international political and economic conflict. It has also risen to the top of national agendas for economic security, sovereignty, resilience and competitiveness. But how did we get there? And what does it portend? Are the two countries that own their own digital stacks set to dominate the global political economy? Can mid-sized economies with real technological capabilities become countervailing forces? Can these middle-powers leverage existing specializations in complex manufacturing industries to build innovation in critical areas of technology to protect their interests and remain relevant in the global arena? And can they do so without compromising existing commitments to fair employment and environmental sustainability?"
SS3,9/4/26,11:30 AM,12:30 PM,Rhodes Trust,Space: Can the Final Frontier Become a Market?,Special Session,,,Mehdi Montakhabi,Dr Paul Bate; Rob Desborough; Nigel Chandler; Raja Roy,"Space has become one of the most strategically significant industries of this century. Once the preserve of government agencies pursuing scientific, military and exploratory missions, it now underpins communications, Earth observation, climate monitoring, and national security. Yet a central question remains open: can space become a genuine market, or will its structure, demand and economics remain largely shaped by the state? What makes space unusual is that markets here often have to be built before demand is visible. Governments, investors, and firms must make long-term commitments under extreme uncertainty, and the commercial landscape is shaped as much by public procurement, industrial policy, and venture capital as by ordinary consumer demand. Bringing together speakers from venture capital, the space and defence industry, the UK Space Agency, and academia, this panel asks how space markets are created, financed, and governed. In doing so, we address a broader question of how markets are constructed when demand, technology, and industry boundaries are all still being formed?"
SS4,9/4/26,11:30 AM,12:30 PM,LT4,"Drug Shortages: Drivers, Consequences, and Solutions",Special Session,,,John Gray,Dr. Markus Felgenhauer; Damien Holly; Mujaheed Shaikh,"Drug shortages have hit record highs worldwide. In addition to causes common to all global industries (e.g., national disasters and geopolitical disruptions), in the pharmaceutical industry there is also a mix of manufacturing fragility, market economics, regulatory friction, and supply chain opacity. The consequences of drug shortages ripple from clinical care to public trust. This panel brings together research, policy, and industry perspectives to unpack the drivers of shortages, public policy responses, and private sector solutions. Discussion will draw on firsthand experience managing drug supply, covering the underlying economics, such as rewarding manufacturers for staying in markets with razor-thin margins, a tendency for single sources of supply, and environmental regulation continuing to push production toward Asia. Expect insights from work with data and decision-makers across several countries, and a live demo of predictive tools that flag shortage risk before it hits the shelf."
SS5,9/4/26,3:10 PM,4:10 PM,Rhodes Trust,When the Chips are Down: Europe's Stake in the Global Chip War,Special Session,,,Travis Mosier,Dr Katie Hore; Sebastian Weiske,"The global semiconductor industry is in the midst of a historic transition, driven by geo-strategic rivalry, growing demands for supply chain resiliency, and China's rapidly expanding role in mature-node manufacturing. While public attention gravitates toward the most advanced chips, the sharpest competitive pressures are emerging in the power and foundational semiconductors that underpin Europe's automotive, industrial, and energy sectors. As products across nearly every industry come to depend on an increasingly complex and growing array of chips, semiconductor competition is no longer a story confined to the chip industry itself. This panel draws together corporate strategy, industrial policy, and technology commercialization to examine what is actually at stake and assesses where the industry is heading, what it means for Europe's downstream industries, and which policy responses can meet the moment."
SS6,9/4/26,3:10 PM,4:10 PM,LT4,Infrastructure—From Concrete to Cloud: A Laggard Leviathan or a Leading Light?,Special Session,,,Daniel Erian Armanios,Alison Baptiste; Jim Hall; Julia Pyke; Chetan Kotur,"Delivering large-scale infrastructure is fundamental towards realizing our future societal ambitions and meeting our global grand challenges. On the one hand, age-old challenges still exist - uneven skilled labour availability, operational complexity, and time-cost-quality pressures amidst ever increasing geopolitical turmoil and economic turbulence. On the other hand, we see remarkable advancements in machine learning, robotics & physical AI, nuclear fission & fusion, renewables, to name only a few, that are allowing us to reimagine the possible. In this panel, we will explore what this duality spells for the future of infrastructure. Will we continue to genuflect to age-old problems that continue to seemingly spring anew or will these novel breakthroughs allow us to inflect to a new reality? The answers do not just have implications for those leading, studying, or enacting large-scale projects and policy around infrastructure but also for those seeking to use these assets as springboards for new imaginative futures."
SS7,9/5/26,10:30 AM,11:30 AM,Rhodes Trust,What Is Industry Studies Research?,Special Session,,,John Gray,Saurabh Bansal; Laura Dupin; Juliane Reinecke,"Industry studies draws on perspectives from strategy, organization theory, operations, innovation, and public policy, yet its distinctive contribution remains a subject of ongoing discussion. At its core, industry studies seeks to understand how industry-specific characteristics shape organizational, firm, and industry outcomes through attention to the technologies, institutions, competitive dynamics, and historical trajectories that define particular sectors. This panel brings together leading scholars to explore what defines industry studies research, the questions it is uniquely positioned to answer, and its relevance for addressing contemporary challenges. Panellists will discuss industries as a critical level of analysis, the balance between industry-specific insight and broader theory development, and the opportunities and challenges of conducting and publishing industry-focused research. Reflecting on the field's evolution, current boundaries, and future directions, the discussion will offer perspectives on how industry studies can contribute to understanding industries as complex systems of competition, collaboration, innovation, and change, while providing practical guidance for scholars interested in advancing this distinctive area of research."
SS8,9/5/26,10:30 AM,11:30 AM,LT4,Resilience and Reconfiguration of Global Supply Chains,Special Session,,,Jagjit Singh Srai,Edward Anderson; Nitin Joglekar,"As geopolitical tensions, technological disruption, and systemic vulnerabilities reshape global supply chains, new approaches to resilience are emerging. This panel examines four critical themes: (1) managing cascade risks in increasingly interconnected supply networks; (2) the growing use of supply chains as instruments of statecraft through export controls, technology restrictions, and resource access; (3) industrial resilience and supply chain reconfiguration driven by breakthrough technologies and new organisational models; and (4) the opportunities and risks created by agentic AI systems, including new approaches to visibility, coordination, and risk management. Together, the discussion explores how firms, industries, and governments can adapt to an increasingly uncertain global environment."
