id,session_id,session_name,paper_order
66,GIS1,"Market Power, Competition, and Social Outcomes",1
31,GIS1,"Market Power, Competition, and Social Outcomes",2
97,GIS1,"Market Power, Competition, and Social Outcomes",3
178,GIS1,"Market Power, Competition, and Social Outcomes",4
83,I&E1,AI and Entrepreneurial Experimentation,1
33,I&E1,AI and Entrepreneurial Experimentation,2
67,I&E1,AI and Entrepreneurial Experimentation,3
163,LAB1,Labor Markets and Institutional Environments,1
84,LAB1,Labor Markets and Institutional Environments,2
207,LAB1,Labor Markets and Institutional Environments,3
135,OSCM1,Sourcing and Supply Networks,1
214,OSCM1,Sourcing and Supply Networks,2
198,OSCM1,Sourcing and Supply Networks,3
16,OSCM1,Sourcing and Supply Networks,4
51,SUS1,Climate Legitimacy and Adaptation,1
142,SUS1,Climate Legitimacy and Adaptation,2
187,SUS1,Climate Legitimacy and Adaptation,3
196,SUS1,Climate Legitimacy and Adaptation,4
81,PP1,Industrial Upgrading,1
174,PP1,Industrial Upgrading,2
215,PP1,Industrial Upgrading,3
137,GIS2,"Policy, Infrastructure, and Industrial Capability",1
123,GIS2,"Policy, Infrastructure, and Industrial Capability",2
203,GIS2,"Policy, Infrastructure, and Industrial Capability",3
58,GIS2,"Policy, Infrastructure, and Industrial Capability",4
37,I&E2,AI Risk and Governance,1
118,I&E2,AI Risk and Governance,2
53,I&E2,AI Risk and Governance,3
121,I&E2,AI Risk and Governance,4
59,LAB2,AI and Professional Work,1
129,LAB2,AI and Professional Work,2
165,LAB2,AI and Professional Work,3
156,LAB2,AI and Professional Work,4
105,OSCM2,Sustainable Operations,1
134,OSCM2,Sustainable Operations,2
145,OSCM2,Sustainable Operations,3
190,OSCM2,Sustainable Operations,4
48,SUS2,Low Carbon Mobility,1
49,SUS2,Low Carbon Mobility,2
140,SUS2,Low Carbon Mobility,3
185,SUS2,Low Carbon Mobility,4
45,HC1,Pharmaceutical Markets and Drug Supply Chains,1
96,HC1,Pharmaceutical Markets and Drug Supply Chains,2
41,HC1,Pharmaceutical Markets and Drug Supply Chains,3
12,PP2,Industrial Statecraft,1
5,PP2,Industrial Statecraft,2
46,PP2,Industrial Statecraft,3
180,XTrack1,Semiconductor Sovereignty and Supply Chain Resilience,1
205,XTrack1,Semiconductor Sovereignty and Supply Chain Resilience,2
