room,time_slot,date,day,start_time,end_time
Offsite,TH01,2026-09-03,Thursday,08:00:00,12:00:00
Oxford walking tour,TH02,2026-09-03,Thursday,10:00:00,12:00:00
SBS Foyer,TH03,2026-09-03,Thursday,12:00:00,13:00:00
LT4,TH04,2026-09-03,Thursday,13:00:00,14:00:00
Rhodes Trust,TH04,2026-09-03,Thursday,13:00:00,14:00:00
Edmund Safra,TH05,2026-09-03,Thursday,14:05:00,15:15:00
Founders Room,TH05,2026-09-03,Thursday,14:05:00,15:15:00
LT4,TH05,2026-09-03,Thursday,14:05:00,15:15:00
LT5,TH05,2026-09-03,Thursday,14:05:00,15:15:00
Rhodes Trust,TH05,2026-09-03,Thursday,14:05:00,15:15:00
SR A,TH05,2026-09-03,Thursday,14:05:00,15:15:00
SBS Foyer,TH06,2026-09-03,Thursday,15:15:00,15:45:00
NMLT,TH07,2026-09-03,Thursday,15:45:00,16:45:00
Edmund Safra,TH08,2026-09-03,Thursday,16:50:00,18:00:00
Founders Room,TH08,2026-09-03,Thursday,16:50:00,18:00:00
LT4,TH08,2026-09-03,Thursday,16:50:00,18:00:00
LT5,TH08,2026-09-03,Thursday,16:50:00,18:00:00
Rhodes Trust,TH08,2026-09-03,Thursday,16:50:00,18:00:00
SR A,TH08,2026-09-03,Thursday,16:50:00,18:00:00
SR13,TH08,2026-09-03,Thursday,16:50:00,18:00:00
Rhodes House,TH09,2026-09-03,Thursday,18:30:00,20:30:00
SBS Foyer,FR01,2026-09-04,Friday,08:15:00,08:45:00
Edmund Safra,FR02,2026-09-04,Friday,08:45:00,09:55:00
Founders Room,FR02,2026-09-04,Friday,08:45:00,09:55:00
LT4,FR02,2026-09-04,Friday,08:45:00,09:55:00
LT5,FR02,2026-09-04,Friday,08:45:00,09:55:00
Rhodes Trust,FR02,2026-09-04,Friday,08:45:00,09:55:00
SR A,FR02,2026-09-04,Friday,08:45:00,09:55:00
SBS Foyer,FR03,2026-09-04,Friday,09:55:00,10:25:00
NMLT,FR04,2026-09-04,Friday,10:25:00,11:25:00
LT4,FR05,2026-09-04,Friday,11:30:00,12:30:00
Rhodes Trust,FR05,2026-09-04,Friday,11:30:00,12:30:00
SBS Foyer,FR06,2026-09-04,Friday,12:30:00,13:30:00
Edmund Safra,FR07,2026-09-04,Friday,13:30:00,14:40:00
Founders Room,FR07,2026-09-04,Friday,13:30:00,14:40:00
LT4,FR07,2026-09-04,Friday,13:30:00,14:40:00
LT5,FR07,2026-09-04,Friday,13:30:00,14:40:00
Rhodes Trust,FR07,2026-09-04,Friday,13:30:00,14:40:00
SR A,FR07,2026-09-04,Friday,13:30:00,14:40:00
SR13,FR07,2026-09-04,Friday,13:30:00,14:40:00
SBS Foyer,FR08,2026-09-04,Friday,14:40:00,15:10:00
LT4,FR09,2026-09-04,Friday,15:10:00,16:10:00
Rhodes Trust,FR09,2026-09-04,Friday,15:10:00,16:10:00
Edmund Safra,FR10,2026-09-04,Friday,16:20:00,17:30:00
Founders Room,FR10,2026-09-04,Friday,16:20:00,17:30:00
LT4,FR10,2026-09-04,Friday,16:20:00,17:30:00
LT5,FR10,2026-09-04,Friday,16:20:00,17:30:00
NMLT,FR10,2026-09-04,Friday,16:20:00,17:30:00
Rhodes Trust,FR10,2026-09-04,Friday,16:20:00,17:30:00
SR A,FR10,2026-09-04,Friday,16:20:00,17:30:00
Free time,FR11,2026-09-04,Friday,17:30:00,18:45:00
Balliol College,FR12,2026-09-04,Friday,18:45:00,22:00:00
SBS Foyer,SA01,2026-09-05,Saturday,08:30:00,09:00:00
Edmund Safra,SA02,2026-09-05,Saturday,09:00:00,10:10:00
LT4,SA02,2026-09-05,Saturday,09:00:00,10:10:00
LT5,SA02,2026-09-05,Saturday,09:00:00,10:10:00
Rhodes Trust,SA02,2026-09-05,Saturday,09:00:00,10:10:00
SR A,SA02,2026-09-05,Saturday,09:00:00,10:10:00
SR13,SA02,2026-09-05,Saturday,09:00:00,10:10:00
SBS Foyer,SA03,2026-09-05,Saturday,10:10:00,10:30:00
NMLT,SA04,2026-09-05,Saturday,10:30:00,11:30:00
Rhodes Trust,SA04,2026-09-05,Saturday,10:30:00,11:30:00
Edmund Safra,SA05,2026-09-05,Saturday,11:35:00,12:45:00
Founders Room,SA05,2026-09-05,Saturday,11:35:00,12:45:00
LT4,SA05,2026-09-05,Saturday,11:35:00,12:45:00
LT5,SA05,2026-09-05,Saturday,11:35:00,12:45:00
Rhodes Trust,SA05,2026-09-05,Saturday,11:35:00,12:45:00
SR A,SA05,2026-09-05,Saturday,11:35:00,12:45:00
SBS Foyer,SA06,2026-09-05,Saturday,12:45:00,14:00:00
