id,session_id,session_name,paper_order
56,1,Geographic Location and Transportation Cost,1
109,1,Geographic Location and Transportation Cost,2
122,1,Geographic Location and Transportation Cost,3
178,1,Geographic Location and Transportation Cost,4
46,2,Public Policy and ESG,1
85,2,Public Policy and ESG,2
172,2,Public Policy and ESG,3
103,3,Biodiversity and Agricultural Industry,1
175,3,Biodiversity and Agricultural Industry,2
192,3,Biodiversity and Agricultural Industry,3
24,6,Industry Classification and Regulatory Policy,1
73,6,Industry Classification and Regulatory Policy,2
134,6,Industry Classification and Regulatory Policy,3
181,6,Industry Classification and Regulatory Policy,4
