id,session_id,session_name,paper_order
30,7,Biomedical Innovation & Organizational Ecosystems,1
48,7,Biomedical Innovation & Organizational Ecosystems,2
71,7,Biomedical Innovation & Organizational Ecosystems,3
169,7,Biomedical Innovation & Organizational Ecosystems,4
50,9,Drug Quality and Safety,1
94,9,Drug Quality and Safety,2
95,9,Drug Quality and Safety,3
2002,9,Drug Quality and Safety,4
148,10,Drug Supply Chains and Shortages,1
184,10,Drug Supply Chains and Shortages,2
185,10,Drug Supply Chains and Shortages,3
190,10,Drug Supply Chains and Shortages,4
21,11,Healthcare Data and Analytics,1
39,11,Healthcare Data and Analytics,2
114,11,Healthcare Data and Analytics,3
150,11,Healthcare Data and Analytics,4
124,33,Healthcare and People-Centric Operations,1
125,12,Healthcare Operations and Capacity,1
137,12,Healthcare Operations and Capacity,2
140,12,Healthcare Operations and Capacity,3
