id,session_id,session_name,paper_order
199,14,AI Adoption and Organizational Performance,1
200,14,AI Adoption and Organizational Performance,2
209,14,AI Adoption and Organizational Performance,3
33,15,Advanced Technologies and Digital Innovation,1
92,15,Advanced Technologies and Digital Innovation,2
52,15,Advanced Technologies and Digital Innovation,3
194,15,Advanced Technologies and Digital Innovation,4
77,16,Entrepreneurial Ecosystems and Clusters,1
123,16,Entrepreneurial Ecosystems and Clusters,2
132,16,Entrepreneurial Ecosystems and Clusters,3
108,17,Entrepreneurship Research and Policy,1
120,17,Entrepreneurship Research and Policy,2
208,17,Entrepreneurship Research and Policy,3
62,18,Generative AI and the Future of Work,1
63,18,Generative AI and the Future of Work,2
138,18,Generative AI and the Future of Work,3
116,18,Generative AI and the Future of Work,4
84,19,Industrial Policy and Technology Development,1
195,19,Industrial Policy and Technology Development,2
203,19,Industrial Policy and Technology Development,3
146,19,Industrial Policy and Technology Development,4
54,20,Innovation Strategy and Resources,1
55,17,Entrepreneurship Research and Policy,4
65,20,Innovation Strategy and Resources,2
179,22,Technology Legitimacy and Emerging Markets,1
186,22,Technology Legitimacy and Emerging Markets,2
210,22,Technology Legitimacy and Emerging Markets,3
2000,22,Technology Legitimacy and Emerging Markets,4
