id,session_id,session_name,paper_order
72,23,"Hiring, Skills, and Labor Market Dynamics",1
100,23,"Hiring, Skills, and Labor Market Dynamics",2
119,23,"Hiring, Skills, and Labor Market Dynamics",3
147,23,"Hiring, Skills, and Labor Market Dynamics",4
96,25,Manufacturing Transformation and Workforce Development,1
126,25,Manufacturing Transformation and Workforce Development,2
151,25,Manufacturing Transformation and Workforce Development,3
204,25,Manufacturing Transformation and Workforce Development,4
27,26,"Platform Work, Control, and Worker Voice",1
86,26,"Platform Work, Control, and Worker Voice",2
141,26,"Platform Work, Control, and Worker Voice",3
144,26,"Platform Work, Control, and Worker Voice",4
