id,session_id,session_name,paper_order
37,29,Digital Platforms and Last-Mile Delivery,1
61,29,Digital Platforms and Last-Mile Delivery,2
2004,29,Digital Platforms and Last-Mile Delivery,3
36,30,Supply Chain Risk and Resilience,1
156,30,Supply Chain Risk and Resilience,2
168,30,Supply Chain Risk and Resilience,3
206,30,Supply Chain Risk and Resilience,4
28,31,Manufacturing Operations and Digital Technology,1
135,31,Manufacturing Operations and Digital Technology,2
183,31,Manufacturing Operations and Digital Technology,3
193,31,Manufacturing Operations and Digital Technology,4
51,33,Healthcare and People-Centric Operations,1
75,33,Healthcare and People-Centric Operations,2
162,33,Healthcare and People-Centric Operations,3
2001,12,Healthcare Operations and Capacity,1
128,35,ESG in Supply Chains,1
143,35,ESG in Supply Chains,2
154,35,ESG in Supply Chains,3
110,36,AI and Data Tools for Manufacturing and Industry Intelligence,1
113,36,AI and Data Tools for Manufacturing and Industry Intelligence,2
2003,36,AI and Data Tools for Manufacturing and Industry Intelligence,3
205,35,ESG in Supply Chains,4
