id,session_id,session_name,paper_order
64,43,Industrial Decarbonization Pathways,1
76,43,Industrial Decarbonization Pathways,2
142,43,Industrial Decarbonization Pathways,3
163,43,Industrial Decarbonization Pathways,4
67,44,EV Transition and Automotive Industry,1
89,44,EV Transition and Automotive Industry,2
93,44,EV Transition and Automotive Industry,3
17,44,EV Transition and Automotive Industry,4
44,47,Green Innovation and Sustainable Energy Strategies,1
66,47,Green Innovation and Sustainable Energy Strategies,2
133,47,Green Innovation and Sustainable Energy Strategies,3
170,32,Sustainable and Circular Supply Chains,1
201,32,Sustainable and Circular Supply Chains,2
205,47,Green Innovation and Sustainable Energy Strategies,4
83,32,Sustainable and Circular Supply Chains,3
